EC1	EC2	EC3	EC4	EC5	NE1	NE2	NE3	EST1	EST2	EST3
0	0	0	1	0	1	0	0	0	0	1
0	0	1	0	0	0	0	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
1	0	0	0	0	1	0	0	0	0	1
1	0	0	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	0	1	0	0	0	0	1	1	0	0
0	0	0	0	1	0	0	1	1	0	0
0	0	1	0	0	1	0	0	1	0	0
0	0	0	0	1	1	0	0	0	1	0
0	1	0	0	0	0	1	0	0	0	1
1	0	0	0	0	1	0	0	0	0	1
0	0	1	0	0	0	1	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	1	0	0	0	1
1	0	0	0	0	0	1	0	0	1	0
0	0	1	0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	0	0	1
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	0	1	0	0	0	1	0	0	1	0
0	0	1	0	0	0	0	1	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	0	1	0	0	0	1	0	1	0	0
0	0	1	0	0	0	1	0	1	0	0
0	0	0	0	1	0	0	1	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	0	1	1	0	0
1	0	0	0	0	1	0	0	1	0	0
1	0	0	0	0	0	1	0	1	0	0
1	0	0	0	0	1	0	0	0	1	0
1	0	0	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	0	0	1
0	0	0	0	1	0	1	0	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	0	1	0	0	1	0	0	0	1	0
0	1	0	0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	0	0	1	0	1	0	1	0	0
1	0	0	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	0	0	1	0
1	0	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	1	0	0	0	1
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
1	0	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	1	0	0	0	1	0	0	0	1
1	0	0	0	0	1	0	0	0	0	1
0	1	0	0	0	1	0	0	0	0	1
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	1	0	0	0	0	1
0	1	0	0	0	0	0	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	1	0	0	1	0	0	0	0	1
1	0	0	0	0	1	0	0	1	0	0
0	0	1	0	0	0	1	0	1	0	0
0	0	1	0	0	0	1	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
1	0	0	0	0	1	0	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	1	0	0	0	1
0	1	0	0	0	0	0	1	1	0	0
0	0	0	0	1	0	1	0	1	0	0
0	0	0	1	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
0	0	0	0	1	0	0	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	0	1	0	0	0	1	0	0	0	1
0	0	1	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	0	0	1
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	1	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
1	0	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	0	0	0	1
0	0	0	0	1	0	0	1	1	0	0
0	0	0	0	1	0	0	1	0	0	1
0	0	0	0	1	0	0	1	1	0	0
1	0	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	1	0	0
1	0	0	0	0	0	0	1	0	1	0
0	0	0	0	1	0	0	1	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	0	0	1	1	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	0	0	0	1	0	0	1	0	0	1
0	1	0	0	0	0	1	0	0	0	1
0	0	1	0	0	1	0	0	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	1	0	0	1	0	0	1	0	0
1	0	0	0	0	1	0	0	0	1	0
0	1	0	0	0	1	0	0	0	0	1
0	1	0	0	0	0	1	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	0	1	0	0	1	0	0	1	0	0
1	0	0	0	0	0	0	1	0	0	1
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	1	0	0	0	0	1
1	0	0	0	0	0	1	0	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
1	0	0	0	0	1	0	0	1	0	0
0	0	1	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
1	0	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
1	0	0	0	0	0	1	0	1	0	0
0	0	0	1	0	1	0	0	0	0	1
0	0	0	1	0	0	0	1	0	0	1
0	0	0	0	1	0	0	1	1	0	0
0	0	0	1	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	0	1	0	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	0	0	1	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
1	0	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
1	0	0	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	1	0	0
0	0	1	0	0	1	0	0	1	0	0
0	1	0	0	0	1	0	0	0	0	1
0	0	0	0	1	0	0	1	0	0	1
1	0	0	0	0	1	0	0	0	1	0
0	0	0	1	0	1	0	0	0	0	1
0	0	0	0	1	0	0	1	1	0	0
0	0	0	0	1	0	1	0	1	0	0
0	0	0	0	1	0	0	1	0	0	1
0	0	0	0	1	0	0	1	0	0	1
0	1	0	0	0	0	0	1	0	0	1
0	0	0	0	1	0	0	1	0	0	1
0	0	0	0	1	1	0	0	1	0	0
0	0	0	0	1	1	0	0	0	0	1
0	1	0	0	0	0	1	0	1	0	0
0	0	0	0	1	1	0	0	0	0	1
0	1	0	0	0	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0
0	0	1	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	1	0	0
1	0	0	0	0	0	1	0	1	0	0
1	0	0	0	0	1	0	0	0	0	1
